strategy,budget,instances,optimal,suboptimal,optimal_percent,avg_terminals,avg_roots,avg_workers,avg_dangers,avg_ratio,worst_ratio,avg_speedup
nearest_capital,5,20,20,0,1.0,4.0,2.8,3.0,1.0,1.0,1.0,204.524
nearest_capital,10,20,20,0,1.0,6.0,4.75,6.0,0.0,1.0,1.0,189.945
nearest_capital,10,20,19,1,0.95,7.0,4.75,6.0,1.0,1.001,1.016,232.262
nearest_capital,15,20,19,1,0.95,9.0,5.75,9.0,0.0,1.001,1.011,760.505
nearest_capital,15,20,20,0,1.0,10.0,5.75,9.0,1.0,1.0,1.0,731.601
nearest_capital,20,20,20,0,1.0,12.0,7.4,12.0,0.0,1.0,1.0,506.738
nearest_capital,20,20,19,1,0.95,13.0,7.4,12.0,1.0,1.001,1.01,628.282
nearest_capital,25,20,18,2,0.9,16.0,8.55,16.0,0.0,1.001,1.009,1623.562
nearest_capital,25,20,17,3,0.85,17.0,8.55,16.0,1.0,1.002,1.02,1505.173
nearest_capital,30,20,19,1,0.95,16.0,8.25,16.0,0.0,1.001,1.01,1271.869
nearest_capital,30,20,20,0,1.0,17.0,8.25,16.0,1.0,1.0,1.0,1727.359
nearest_capital,35,20,19,1,0.95,19.0,9.6,19.0,0.0,1.0,1.006,1923.324
nearest_capital,35,20,17,3,0.85,20.0,9.6,19.0,1.0,1.002,1.022,1491.227
nearest_capital,40,20,18,2,0.9,22.0,9.75,22.0,0.0,1.001,1.009,1517.694
nearest_capital,40,20,17,3,0.85,23.0,9.75,22.0,1.0,1.001,1.008,1589.215
nearest_capital,45,20,15,5,0.75,25.0,9.95,25.0,0.0,1.002,1.008,4327.521
nearest_capital,45,20,13,7,0.65,26.0,9.95,25.0,1.0,1.002,1.008,6102.28
nearest_town,5,20,20,0,1.0,3.0,2.95,3.0,0.0,1.0,1.0,223.109
nearest_town,5,20,20,0,1.0,4.0,2.95,3.0,1.0,1.0,1.0,184.183
nearest_town,10,20,20,0,1.0,6.0,5.3,6.0,0.0,1.0,1.0,153.56
nearest_town,10,20,19,1,0.95,7.0,5.3,6.0,1.0,1.002,1.038,159.386
nearest_town,15,20,20,0,1.0,9.0,8.0,9.0,0.0,1.0,1.0,187.199
nearest_town,15,20,19,1,0.95,10.0,8.0,9.0,1.0,1.002,1.037,279.249
nearest_town,20,20,20,0,1.0,12.0,9.95,12.0,0.0,1.0,1.0,239.604
nearest_town,20,20,19,1,0.95,13.0,9.95,12.0,1.0,1.001,1.025,250.127
nearest_town,25,20,19,1,0.95,16.0,11.9,16.0,0.0,1.001,1.011,444.223
nearest_town,25,20,18,2,0.9,17.0,11.9,16.0,1.0,1.002,1.022,484.513
nearest_town,30,20,20,0,1.0,16.0,13.0,16.0,0.0,1.0,1.0,461.457
nearest_town,30,20,20,0,1.0,17.0,13.0,16.0,1.0,1.0,1.0,520.821
nearest_town,35,20,19,1,0.95,19.0,13.9,19.0,0.0,1.001,1.014,754.791
nearest_town,35,20,19,1,0.95,20.0,13.9,19.0,1.0,1.001,1.014,710.241
nearest_town,40,20,19,1,0.95,22.0,15.6,22.0,0.0,1.0,1.008,527.419
nearest_town,40,20,18,2,0.9,23.0,15.6,22.0,1.0,1.001,1.014,491.098
nearest_town,45,20,20,0,1.0,25.0,17.0,25.0,0.0,1.0,1.0,927.015
nearest_town,45,20,20,0,1.0,26.0,17.0,25.0,1.0,1.0,1.0,774.263
nearest_town_in_territory,5,20,20,0,1.0,3.0,2.85,3.0,0.0,1.0,1.0,221.038
nearest_town_in_territory,5,20,20,0,1.0,4.0,2.85,3.0,1.0,1.0,1.0,191.513
nearest_town_in_territory,10,20,20,0,1.0,6.0,5.4,6.0,0.0,1.0,1.0,194.592
nearest_town_in_territory,10,20,19,1,0.95,7.0,5.4,6.0,1.0,1.001,1.02,216.141
nearest_town_in_territory,15,20,19,1,0.95,9.0,7.8,9.0,0.0,1.002,1.033,311.656
nearest_town_in_territory,15,20,19,1,0.95,10.0,7.8,9.0,1.0,1.002,1.031,379.616
nearest_town_in_territory,20,20,20,0,1.0,12.0,9.45,12.0,0.0,1.0,1.0,360.719
nearest_town_in_territory,20,20,20,0,1.0,13.0,9.45,12.0,1.0,1.0,1.0,379.215
nearest_town_in_territory,25,20,20,0,1.0,16.0,11.75,16.0,0.0,1.0,1.0,587.156
nearest_town_in_territory,25,20,20,0,1.0,17.0,11.75,16.0,1.0,1.0,1.0,599.92
nearest_town_in_territory,30,20,20,0,1.0,16.0,11.55,16.0,0.0,1.0,1.0,479.921
nearest_town_in_territory,30,20,20,0,1.0,17.0,11.55,16.0,1.0,1.0,1.0,577.454
nearest_town_in_territory,35,20,20,0,1.0,19.0,13.65,19.0,0.0,1.0,1.0,553.714
nearest_town_in_territory,35,20,20,0,1.0,20.0,13.65,19.0,1.0,1.0,1.0,608.551
nearest_town_in_territory,40,20,20,0,1.0,22.0,14.55,22.0,0.0,1.0,1.0,685.954
nearest_town_in_territory,40,20,20,0,1.0,23.0,14.55,22.0,1.0,1.0,1.0,603.999
nearest_town_in_territory,45,20,20,0,1.0,25.0,15.6,25.0,0.0,1.0,1.0,1263.548
nearest_town_in_territory,45,20,19,1,0.95,26.0,15.6,25.0,1.0,1.0,1.008,1138.37
random_capital,5,20,18,2,0.9,3.0,2.75,3.0,0.0,1.003,1.037,707.935
random_capital,5,20,15,5,0.75,4.0,2.75,3.0,1.0,1.007,1.037,927.149
random_capital,10,20,14,6,0.7,6.0,5.0,6.0,0.0,1.006,1.053,5119.08
random_capital,10,20,14,6,0.7,7.0,5.0,6.0,1.0,1.006,1.06,5927.919
random_capital,15,20,8,12,0.4,9.0,6.45,9.0,0.0,1.01,1.042,5669.829
random_capital,15,20,7,13,0.35,10.0,6.45,9.0,1.0,1.01,1.04,8348.994
random_capital,20,20,13,7,0.65,12.0,8.6,12.0,0.0,1.005,1.021,6950.08
random_capital,20,20,13,7,0.65,13.0,8.6,12.0,1.0,1.006,1.026,10048.547
random_capital,25,20,13,7,0.65,16.0,9.3,16.0,0.0,1.006,1.037,8411.139
random_capital,25,20,11,9,0.55,17.0,9.3,16.0,1.0,1.006,1.039,12246.218
random_capital,30,20,6,14,0.3,16.0,9.5,16.0,0.0,1.011,1.028,6224.474
random_capital,30,20,8,12,0.4,17.0,9.5,16.0,1.0,1.008,1.027,11390.662
random_capital,35,20,5,15,0.25,19.0,10.1,19.0,0.0,1.013,1.044,13378.06
random_capital,35,20,7,13,0.35,20.0,10.1,19.0,1.0,1.011,1.033,17812.188
random_capital,40,20,4,16,0.2,22.0,10.75,22.0,0.0,1.01,1.027,12175.176
random_capital,40,20,4,16,0.2,23.0,10.75,22.0,1.0,1.009,1.022,18300.923
random_capital,45,20,7,13,0.35,25.0,11.6,25.0,0.0,1.007,1.022,16820.916
random_capital,45,20,6,14,0.3,26.0,11.6,25.0,1.0,1.008,1.022,18358.521
random_n_cheapest_capital,5,20,20,0,1.0,3.0,2.75,3.0,0.0,1.0,1.0,126.126
random_n_cheapest_capital,5,20,19,1,0.95,4.0,2.75,3.0,1.0,1.001,1.022,169.001
random_n_cheapest_capital,10,20,20,0,1.0,6.0,4.5,6.0,0.0,1.0,1.0,188.148
random_n_cheapest_capital,10,20,20,0,1.0,7.0,4.5,6.0,1.0,1.0,1.0,243.829
random_n_cheapest_capital,15,20,18,2,0.9,9.0,6.15,9.0,0.0,1.001,1.012,1802.083
random_n_cheapest_capital,15,20,18,2,0.9,10.0,6.15,9.0,1.0,1.001,1.011,1928.665
random_n_cheapest_capital,20,20,20,0,1.0,12.0,7.15,12.0,0.0,1.0,1.0,2729.173
random_n_cheapest_capital,20,20,19,1,0.95,13.0,7.15,12.0,1.0,1.001,1.026,2762.707
random_n_cheapest_capital,25,20,15,5,0.75,16.0,8.5,16.0,0.0,1.004,1.026,4913.817
random_n_cheapest_capital,25,20,14,6,0.7,17.0,8.5,16.0,1.0,1.004,1.023,5880.453
random_n_cheapest_capital,30,20,13,7,0.65,16.0,8.5,16.0,0.0,1.005,1.027,5875.698
random_n_cheapest_capital,30,20,13,7,0.65,17.0,8.5,16.0,1.0,1.004,1.02,9841.296
random_n_cheapest_capital,35,20,12,8,0.6,19.0,9.05,19.0,0.0,1.005,1.035,9537.426
random_n_cheapest_capital,35,20,10,10,0.5,20.0,9.05,19.0,1.0,1.006,1.034,13900.836
random_n_cheapest_capital,40,20,15,5,0.75,22.0,9.9,22.0,0.0,1.002,1.007,7081.061
random_n_cheapest_capital,40,20,14,6,0.7,23.0,9.9,22.0,1.0,1.002,1.01,9131.801
random_n_cheapest_capital,45,20,9,11,0.45,25.0,10.5,25.0,0.0,1.006,1.039,14735.554
random_n_cheapest_capital,45,20,11,9,0.55,26.0,10.5,25.0,1.0,1.005,1.037,19538.398
random_n_cheapest_town,5,20,20,0,1.0,3.0,2.95,3.0,0.0,1.0,1.0,192.894
random_n_cheapest_town,5,20,20,0,1.0,4.0,2.95,3.0,1.0,1.0,1.0,168.099
random_n_cheapest_town,10,20,20,0,1.0,6.0,5.55,6.0,0.0,1.0,1.0,184.704
random_n_cheapest_town,10,20,20,0,1.0,7.0,5.55,6.0,1.0,1.0,1.0,176.061
random_n_cheapest_town,15,20,20,0,1.0,9.0,7.85,9.0,0.0,1.0,1.0,437.269
random_n_cheapest_town,15,20,20,0,1.0,10.0,7.85,9.0,1.0,1.0,1.0,397.269
random_n_cheapest_town,20,20,20,0,1.0,12.0,9.5,12.0,0.0,1.0,1.0,1344.171
random_n_cheapest_town,20,20,20,0,1.0,13.0,9.5,12.0,1.0,1.0,1.0,871.429
random_n_cheapest_town,25,20,19,1,0.95,16.0,12.15,16.0,0.0,1.0,1.009,1310.997
random_n_cheapest_town,25,20,18,2,0.9,17.0,12.15,16.0,1.0,1.001,1.017,1431.285
random_n_cheapest_town,30,20,19,1,0.95,16.0,12.1,16.0,0.0,1.001,1.011,962.085
random_n_cheapest_town,30,20,19,1,0.95,17.0,12.1,16.0,1.0,1.001,1.011,1308.336
random_n_cheapest_town,35,20,19,1,0.95,19.0,13.7,19.0,0.0,1.001,1.01,1596.075
random_n_cheapest_town,35,20,18,2,0.9,20.0,13.7,19.0,1.0,1.001,1.01,2595.101
random_n_cheapest_town,40,20,19,1,0.95,22.0,15.3,22.0,0.0,1.0,1.007,3242.788
random_n_cheapest_town,40,20,18,2,0.9,23.0,15.3,22.0,1.0,1.001,1.007,4431.059
random_n_cheapest_town,45,20,18,2,0.9,25.0,16.85,25.0,0.0,1.001,1.007,3196.655
random_n_cheapest_town,45,20,16,4,0.8,26.0,16.85,25.0,1.0,1.002,1.013,4569.247
random_n_cheapest_town_in_territory,5,20,20,0,1.0,3.0,2.95,3.0,0.0,1.0,1.0,170.443
random_n_cheapest_town_in_territory,5,20,20,0,1.0,4.0,2.95,3.0,1.0,1.0,1.0,146.399
random_n_cheapest_town_in_territory,10,20,19,1,0.95,6.0,5.35,6.0,0.0,1.001,1.018,138.506
random_n_cheapest_town_in_territory,10,20,19,1,0.95,7.0,5.35,6.0,1.0,1.001,1.016,181.354
random_n_cheapest_town_in_territory,15,20,19,1,0.95,9.0,7.55,9.0,0.0,1.001,1.013,448.625
random_n_cheapest_town_in_territory,15,20,18,2,0.9,10.0,7.55,9.0,1.0,1.003,1.041,460.591
random_n_cheapest_town_in_territory,20,20,20,0,1.0,12.0,9.65,12.0,0.0,1.0,1.0,849.727
random_n_cheapest_town_in_territory,20,20,19,1,0.95,13.0,9.65,12.0,1.0,1.0,1.009,1008.157
random_n_cheapest_town_in_territory,25,20,20,0,1.0,16.0,11.75,16.0,0.0,1.0,1.0,1351.879
random_n_cheapest_town_in_territory,25,20,20,0,1.0,17.0,11.75,16.0,1.0,1.0,1.0,1486.713
random_n_cheapest_town_in_territory,30,20,18,2,0.9,16.0,12.0,16.0,0.0,1.002,1.016,1751.09
random_n_cheapest_town_in_territory,30,20,17,3,0.85,17.0,12.0,16.0,1.0,1.003,1.024,2653.947
random_n_cheapest_town_in_territory,35,20,19,1,0.95,19.0,13.75,19.0,0.0,1.0,1.007,2744.494
random_n_cheapest_town_in_territory,35,20,17,3,0.85,20.0,13.75,19.0,1.0,1.001,1.015,4375.414
random_n_cheapest_town_in_territory,40,20,18,2,0.9,22.0,15.0,22.0,0.0,1.001,1.013,3694.684
random_n_cheapest_town_in_territory,40,20,16,4,0.8,23.0,15.0,22.0,1.0,1.002,1.022,3358.284
random_n_cheapest_town_in_territory,45,20,17,3,0.85,25.0,16.85,25.0,0.0,1.001,1.012,4152.405
random_n_cheapest_town_in_territory,45,20,17,3,0.85,26.0,16.85,25.0,1.0,1.001,1.012,4695.881
random_n_nearest_capital,5,20,20,0,1.0,3.0,2.75,3.0,0.0,1.0,1.0,139.066
random_n_nearest_capital,5,20,20,0,1.0,4.0,2.75,3.0,1.0,1.0,1.0,197.01
random_n_nearest_capital,10,20,17,3,0.85,6.0,4.85,6.0,0.0,1.002,1.014,1165.782
random_n_nearest_capital,10,20,16,4,0.8,7.0,4.85,6.0,1.0,1.004,1.031,1686.305
random_n_nearest_capital,15,20,16,4,0.8,9.0,6.2,9.0,0.0,1.006,1.049,2897.855
